Dataset_Category,Class_Name,Negative_Labels
COCO_Vehicle,vehicle,"windshields.black wheel.back lights.tyre.rim.headlight.taillight.mirror.vehicle chassis.vehicle bumper.license plate.roof rack.antenna.grille.door handles."
COCO_Vehicle,bicycle,"wheel.black tyre.rim.back lights.seat.basket.pedal.steel handle.metal handle.vehicle chassis.metal nut."
COCO_Vehicle,car,"window.windshield.wheel.tyre.back lights.rim.headlight.taillight.mirror.vehicle bumper.license plate.roof rack.antenna.grille.door handle.door frame."
COCO_Vehicle,motorcycle,"black wheel.tyre.engine.back lights.rim.headlight.taillight.mirror.exhaust.leather seat.handlebar.chain.foot peg.black handle.metal stand."
COCO_Vehicle,airplane,"window.glass windows.back lights.front glass window.back glass window.plane engine.black tyre.antenna.tail fin."
COCO_Vehicle,bus,"window.front glass windows.door.back lights.back glass window.wind shield.wheel.tyre.rim.head light.vehicle chassis.tail light.mirror.vehicle bumper.license plate.door handle.roof rack.antenna."
COCO_Vehicle,truck,"window.front glass windows.back lights.cloth.back glass window.windshield.wheel.tyre.rim.headlight.vehicle chassis.tail light.mirror.vehicle bumper.license plate.antenna.front grille.door handle."
COCO_Vehicle,boat,"window.windshields.hull detail.back lights.motor.propeller.antenna.railing.rope.flag.deck equipment.water reflection."
COCO_Fruit_Veg,banana,"leaf.stem."
COCO_Fruit_Veg,apple,"leaf.stem."
COCO_Fruit_Veg,orange,"leaf.stem."
COCO_Fruit_Veg,broccoli,"stem.leaf."
COCO_Fruit_Veg,carrot,"leaf."
COCO_furniture_Household,chair,"pillow.leg."
COCO_furniture_Household,couch,"small pillow."
COCO_furniture_Household,potted plant,"wooden pot.soil.plastic pot."
COCO_furniture_Household,sink,"faucet only."
COCO_furniture_Household,book,"text."
COCO_furniture_Household,clock,"hour hand.minute hand.second hand.text.digits.dial.numbers.knob."
COCO_furniture_Household,vase,"flowers.leaves."
COCO_animals,cat,"eyes.tongue.nose.paws.collar.cloth."
COCO_animals,dog,"eyes.tongue.nose.paws.collar.cloth."
COCO_animals,horse,"eyes.tongue.nose.paws.collar."
COCO_animals,sheep,"eyes.tongue.nose.paws.collar.cloth.ram horn."
COCO_animals,cow,"eyes.tongue.nose.paws.collar.cloth.horn."
COCO_animals,elephant,"eyes.tongue.nose.paws.collar.cloth.tusk."
COCO_animals,bear,"eyes.tongue.nose.paws.collar.cloth."
COCO_cloths_Accessories,tie,""
COCO_cloths_Accessories,handbag,"zipper.tag.logo.text."
COCO_cloths_Accessories,backpack,"zipper.tag.logo.text."
COCO_cloths_Accessories,suitcase,"zipper.wheel.handles.text.logo.ribben."
COCO_cloths_Accessories,umbrella,"handle.pipe."
COCO_sports_toys,sports ball,""
COCO_sports_toys,baseball bat,""
COCO_sports_toys,kite,""
COCO_sports_toys,frisbee,""
COCO_sports_toys,surfboard,""
COCO_sports_toys,skis,""
COCO_sports_toys,baseball glove,""
COCO_sports_toys,skateboard,"wheel."
COCO_Tools_Misc,remote,"buttons.button.text.logo."
COCO_Tools_Misc,microwave,"button.switch.handle.glass.black glass.text."
COCO_Tools_Misc,toaster,"button."
COCO_Tools_Misc,refrigerator,"handle.button.shelf."
COCO_Tools_Misc,oven,"handle.button.racks."
COCO_Tools_Misc,knife,"blade only."
ImageNet_Vehicle,jeep,"window.windshield.wheel.text.back lights.tyre.rim.headlight.taillight.mirror.vehicle chassis.vehicle bumper.license plate.roof rack.antenna.grille.door handle."
ImageNet_Vehicle,minivan,"window.windshield.text.wheel.tyre.back lights.rim.headlight.taillight.mirror.vehicle bumper.vehicle chassis.license plate.roof rack.antenna.grille.door handle."
ImageNet_Vehicle,sports car,"window.windshield.text.wheel.tyre.rim.back lights.headlight.taillight.mirror.vehicle bumper.license plate.vehicle chassis.roof rack.antenna.grille.door handle.front bumper.rear bumper."
ImageNet_Vehicle,taxi,"window.windshield.wheel.text.tyre.rim.headlight.back lights.taillight.mirror.vehicle bumper.license plate.vehicle chassis.roof rack.antenna.grille.door handle."
ImageNet_Fruit_Veg,lemon,"leaf."
ImageNet_Fruit_Veg,mango,"leaf."
ImageNet_Fruit_Veg,papaya,"leaf.stem.seeds."
ImageNet_Fruit_Veg,guava,"leaf.stem.seeds."
ImageNet_Fruit_Veg,strawberry,"leaf.stem."
ImageNet_furniture_Household,teapot,"embroidery."
ImageNet_furniture_Household,table,"leg."
ImageNet_furniture_Household,desk,"leg."
ImageNet_furniture_Household,bookcase,"books.bowl."
ImageNet_furniture_Household,wardrobe,"handle.knob.hinge.clothes.bag"
ImageNet_furniture_Household,mug,""
ImageNet_furniture_Household,candle,"flame.glass.logo.text.sticker."
ImageNet_animals,parrot,"eyes.nose.legs."
ImageNet_animals,duck,"eyes.nose.legs."
ImageNet_animals,crocodile,"eyes.teeth.tongue."
ImageNet_animals,turtle,"eyes.teeth.tongue."
ImageNet_animals,owl,"eyes."
ImageNet_cloths_Accessories,T-shirt,"text.logo.human body."
ImageNet_cloths_Accessories,sweatshirt,"button.text.logo.human body."
ImageNet_cloths_Accessories,suit,""
ImageNet_cloths_Accessories,jacket,"zipper.button."
ImageNet_cloths_Accessories,coat,"button."
ImageNet_cloths_Accessories,jeans,"zip."
ImageNet_cloths_Accessories,pants,"zip."
ImageNet_cloths_Accessories,hat,""
ImageNet_sports_toys,football helmet,"strap."
ImageNet_sports_toys,golf ball,""
ImageNet_sports_toys,boxing glove,""
ImageNet_sports_toys,teddybear,"eyes.nose.mouth."
ImageNet_sports_toys,snowboard,"wheels."
ImageNet_sports_toys,balloon,""
ImageNet_Tools_Misc,sponge,""
ImageNet_Tools_Misc,cutting board,""
ImageNet_Tools_Misc,computer mouse,""
ImageNet_Tools_Misc,hair dryer,"button."
ImageNet_Tools_Misc,iron,"button.text.logo.cord."
ImageNet_Tools_Misc,fan,""
ImageNet_Tools_Misc,hammer,"wood."
ImageNet_Tools_Misc,wrench,"steel blade.rust."
