id,color,main_obj,sec_obj,prompt
1,crimson,golf ball,putting green,A crimson golf ball on a putting green.
2,crimson,taxi,building,A crimson taxi in front of a building.
3,crimson,mango,lemon,A crimson mango in a fruit bowl with a lemon.
4,crimson,computer mouse,desk,A crimson computer mouse on a desk.
5,crimson,lipstick,vanity mirror,A crimson lipstick on a vanity mirror.
6,crimson,desk,home office,A crimson desk in a home office.
7,crimson,candle,mirror,A crimson candle beside a mirror.
8,crimson,airplane,runway,A crimson airplane at the runway gate.
9,bisque,computer mouse,desk,A bisque computer mouse on a desk.
10,bisque,motorcycle,street corner,A bisque motorcycle on a street corner.
11,bisque,refrigerator,kitchen,A bisque refrigerator in the corner of the kitchen.
12,bisque,sports ball,gym floor,A bisque sports ball on a gym floor.
13,bisque,truck,loading dock,A bisque truck beside a loading dock.
14,bisque,boxing glove,shelf,A bisque boxing glove placed on a shelf.
15,bisque,jacket,coat rack,A bisque jacket hanging on a coat rack.
16,bisque,strawberry,dessert plate,A bisque strawberry on top of a dessert plate.
17,light yellow,mango,lemon,A light yellow mango in a fruit bowl with a lemon.
18,light yellow,truck,loading dock,A light yellow truck beside a loading dock.
19,light yellow,mug,books,A light yellow mug on a desk with books.
20,light yellow,wardrobe,small chair,A light yellow wardrobe beside a small chair.
21,light yellow,towel,bathroom rack,A light yellow towel hanging on a bathroom rack.
22,light yellow,surfboard,sandy beach,A light yellow surfboard standing on a sandy beach.
23,light yellow,baseball glove,bench,A light yellow baseball glove on a bench.
24,light yellow,clock,white wall,A light yellow clock on a white wall.
25,wheat,remote,coffee table,A wheat remote on a coffee table.
26,wheat,microwave,kitchen shelf,A wheat microwave on a kitchen shelf.
27,wheat,ruler,notebook,A wheat ruler beside an open notebook.
28,wheat,sports ball,gym floor,A wheat sports ball on a gym floor.
29,wheat,T-shirt,table,A wheat T-shirt folded on a table.
30,wheat,candle,mirror,A wheat candle beside a mirror.
31,wheat,tie,hanger,A wheat tie draped over a hanger.
32,wheat,boxing glove,shelf,A wheat boxing glove placed on a shelf.
33,sienna,lipstick,vanity mirror,A sienna lipstick on a vanity mirror.
34,sienna,apple,plate,A sienna apple on a white plate.
35,sienna,wrench,toolbox,A sienna wrench beside a toolbox.
36,sienna,minivan,driveway,A sienna minivan parked in a driveway.
37,sienna,ruler,notebook,A sienna ruler beside an open notebook.
38,sienna,jacket,coat rack,A sienna jacket hanging on a coat rack.
39,sienna,horse,stable,A sienna horse standing in a stable.
40,sienna,boat,pier,A sienna boat docked at a pier.
41,burly wood,mug,books,A burly wood mug on a desk with books.
42,burly wood,wrench,toolbox,A burly wood wrench beside a toolbox.
43,burly wood,horse,stable,A burly wood horse standing in a stable.
44,burly wood,motorcycle,street corner,A burly wood motorcycle on a street corner.
45,burly wood,truck,loading dock,A burly wood truck beside a loading dock.
46,burly wood,owl,wooden stump,A burly wood owl perched on a wooden stump.
47,burly wood,bus,bus stop,A burly wood bus at a bus stop.
48,burly wood,cow,wooden fence,A burly wood cow near a wooden fence.
49,papaya whip,sheep,green field,A papaya whip sheep grazing on a green field.
50,papaya whip,surfboard,sandy beach,A papaya whip surfboard standing on a sandy beach.
51,papaya whip,book,nightstand,A papaya whip book on a nightstand.
52,papaya whip,broccoli,cutting board,A papaya whip broccoli beside a cutting board.
