id,color_count,object1,color1,object2,color2,object3,color3,prompt
1,2,hat,crimson,suitcase,bisque,,,A crimson hat resting on a bisque suitcase.
2,2,minivan,light yellow,bicycle,wheat,,,A light yellow minivan parked beside a wheat bicycle in the driveway.
3,2,snowboard,sienna,skis,burly wood,,,A sienna snowboard resting against burly wood skis by the cabin.
4,2,carrot,papaya whip,broccoli,brown,,,A papaya whip carrot and a brown broccoli on a cutting board.
5,3,couch,navajo white,table,rosy brown,vase,orange,A navajo white couch with a rosy brown table and a orange vase in the living room.
6,3,boat,dark golden rod,jeep,orange red,airplane,khaki,"A dark golden rod boat, a orange red jeep, and a khaki airplane at the lakeside."
7,2,sheep,chartreuse,horse,yellow green,,,A chartreuse sheep grazing next to a yellow green horse in the meadow.
8,2,pillow,dark sea green,curtain,pale green,,,A dark sea green pillow on the bed near a pale green curtain by the window.
9,2,skateboard,dark slate grey,frisbee,medium sea green,,,A dark slate grey skateboard beside a medium sea green frisbee on the grass.
10,2,tie,pale turquoise,suit,aqua,,,A pale turquoise tie draped over a aqua suit in the closet.
11,2,baseball bat,medium spring green,golf ball,dark slate gray,,,A medium spring green baseball bat next to a dark slate gray golf ball on the floor.
12,2,refrigerator,powder blue,oven,sky blue,,,A powder blue refrigerator beside a sky blue oven in the kitchen.
13,3,dog,medium blue,cat,light slate gray,horse,medium slate blue,A medium blue dog next to a light slate gray cat and a medium slate blue horse in the yard.
14,2,duck,magenta,cow,blue violet,,,A magenta duck swimming near a blue violet cow by the pond.
15,2,clock,orchid,candle,purple,,,A orchid clock beside a purple candle on the mantle.
16,2,backpack,dark orchid,bicycle,sea shell,,,A dark orchid backpack hanging on a sea shell bicycle.
17,3,papaya,honey dew,guava,ghost white,carrot,floral white,"A honey dew papaya, a ghost white guava, and a floral white carrot on the table."
18,3,surfboard,dark gray,kite,dim gray,frisbee,thistle,"A dark gray surfboard, a dim gray kite, and a thistle frisbee on the beach."
19,2,knife,black,cutting board,cornsilk,,,A black knife on a cornsilk cutting board in the kitchen.
20,2,umbrella,light blue,car,cyan,,,A light blue umbrella leaning against a cyan car.
21,2,remote,crimson,computer mouse,bisque,,,A crimson remote beside a bisque computer mouse on the desk.
22,3,remote,light yellow,computer mouse,wheat,fan,sienna,"A light yellow remote, a wheat computer mouse, and a sienna fan on the desk."
23,3,wardrobe,burly wood,bookcase,papaya whip,desk,brown,A burly wood wardrobe beside a papaya whip bookcase and a brown desk in the room.
24,3,broccoli,navajo white,orange,rosy brown,apple,orange,A navajo white broccoli beside a rosy brown orange and a orange apple on the counter.
25,2,backpack,dark golden rod,umbrella,orange red,,,A dark golden rod backpack leaning against a orange red umbrella by the door.
26,2,boat,khaki,jeep,chartreuse,,,A khaki boat docked near a chartreuse jeep at the marina.
27,2,socks,yellow green,towel,dark sea green,,,A yellow green socks next to a dark sea green towel on the dresser.
28,3,chair,pale green,desk,dark slate grey,bookcase,medium sea green,"A pale green chair, a dark slate grey desk, and a medium sea green bookcase in the office."
29,2,T-shirt,pale turquoise,jeans,aqua,,,A pale turquoise T-shirt and aqua jeans folded on the bed.
30,2,teddybear,medium spring green,balloon,dark slate gray,,,A medium spring green teddybear holding a dark slate gray balloon on the bed.
31,3,strawberry,powder blue,mango,sky blue,lemon,medium blue,"A powder blue strawberry, a sky blue mango, and a medium blue lemon on a plate."
32,2,surfboard,light slate gray,kite,medium slate blue,,,A light slate gray surfboard leaning near a medium slate blue kite on the beach.
33,2,sports ball,magenta,baseball glove,blue violet,,,A magenta sports ball next to a blue violet baseball glove on the bench.
