id,color_name,r,g,b,object,prompt
1,Light pink,248,195,206,boxing glove,"A photo of a boxing glove in color rgb(248, 195, 206)."
2,Light pink,248,195,206,clock,"A clock in rgb(248, 195, 206)."
3,Light pink,248,195,206,vehicle,"A photo of a vehicle in color rgb(248, 195, 206)."
4,Light pink,248,195,206,baseball bat,"A baseball bat colored rgb(248, 195, 206)."
5,Light pink,248,195,206,sports ball,"A photo of a sports ball in color rgb(248, 195, 206)."
6,Light pink,248,195,206,umbrella,"A realistic umbrella in rgb(248, 195, 206)."
7,Light pink,248,195,206,chair,"A chair with color rgb(248, 195, 206)."
8,Light pink,248,195,206,couch,"A couch in rgb(248, 195, 206)."
9,Light pink,248,195,206,parrot,"A parrot rendered in RGB color rgb(248, 195, 206)."
10,Light pink,248,195,206,banana,"A banana colored rgb(248, 195, 206)."
11,Light pink,248,195,206,wardrobe,"An image of a wardrobe in rgb(248, 195, 206)."
12,Light pink,248,195,206,bus,"A bus with color rgb(248, 195, 206)."
13,Light pink,248,195,206,iron,"A iron rendered in RGB color rgb(248, 195, 206)."
14,Light pink,248,195,206,sweatshirt,"A photo of a sweatshirt in color rgb(248, 195, 206)."
15,Light pink,248,195,206,suitcase,"An image of a suitcase in rgb(248, 195, 206)."
16,Vivid red,213,28,60,couch,"An image of a couch in rgb(213, 28, 60)."
17,Vivid red,213,28,60,banana,"A photo of a banana in color rgb(213, 28, 60)."
18,Vivid red,213,28,60,mango,"A mango with the color rgb(213, 28, 60)."
19,Vivid red,213,28,60,fan,"A fan in rgb(213, 28, 60)."
20,Vivid red,213,28,60,sports car,"A photo of a sports car in color rgb(213, 28, 60)."
21,Vivid red,213,28,60,snowboard,"A snowboard with color rgb(213, 28, 60)."
22,Vivid red,213,28,60,pants,"A pants with the color rgb(213, 28, 60)."
23,Vivid red,213,28,60,skateboard,"A photo of a skateboard in color rgb(213, 28, 60)."
24,Vivid red,213,28,60,bus,"A bus with the color rgb(213, 28, 60)."
25,Vivid red,213,28,60,desk,"A desk colored rgb(213, 28, 60)."
26,Vivid red,213,28,60,parrot,"A parrot with color rgb(213, 28, 60)."
27,Vivid red,213,28,60,clock,"A realistic clock in rgb(213, 28, 60)."
28,Vivid red,213,28,60,iron,"An image of a iron in rgb(213, 28, 60)."
29,Vivid red,213,28,60,sponge,"A sponge rendered in RGB color rgb(213, 28, 60)."
30,Vivid red,213,28,60,microwave,"An image of a microwave in rgb(213, 28, 60)."
31,Light grayish red,180,136,141,sports car,"An image of a sports car in rgb(180, 136, 141)."
32,Light grayish red,180,136,141,suitcase,"A suitcase in rgb(180, 136, 141)."
33,Light grayish red,180,136,141,ruler,"A photo of a ruler in color rgb(180, 136, 141)."
34,Light grayish red,180,136,141,baseball bat,"A baseball bat in rgb(180, 136, 141)."
35,Light grayish red,180,136,141,snowboard,"An image of a snowboard in rgb(180, 136, 141)."
36,Light grayish red,180,136,141,apple,"A apple colored rgb(180, 136, 141)."
37,Light grayish red,180,136,141,pants,"A pants with color rgb(180, 136, 141)."
38,Light grayish red,180,136,141,bear,"A bear with the color rgb(180, 136, 141)."
39,Light grayish red,180,136,141,parrot,"A photo of a parrot in color rgb(180, 136, 141)."
40,Light grayish red,180,136,141,sports ball,"An image of a sports ball in rgb(180, 136, 141)."
41,Light grayish red,180,136,141,football helmet,"A photo of a football helmet in color rgb(180, 136, 141)."
42,Light grayish red,180,136,141,desk,"A realistic desk in rgb(180, 136, 141)."
43,Light grayish red,180,136,141,mango,"A mango colored rgb(180, 136, 141)."
44,Light grayish red,180,136,141,iron,"A realistic iron in rgb(180, 136, 141)."
45,Light grayish red,180,136,141,umbrella,"A umbrella rendered in RGB color rgb(180, 136, 141)."
46,Grayish red,152,93,98,skateboard,"A skateboard with the color rgb(152, 93, 98)."
47,Grayish red,152,93,98,chair,"A chair in rgb(152, 93, 98)."
48,Grayish red,152,93,98,sports ball,"A sports ball with the color rgb(152, 93, 98)."
49,Grayish red,152,93,98,jeans,"A jeans rendered in RGB color rgb(152, 93, 98)."
50,Grayish red,152,93,98,parrot,"A parrot rendered in RGB color rgb(152, 93, 98)."
51,Grayish red,152,93,98,fan,"A fan colored rgb(152, 93, 98)."
52,Grayish red,152,93,98,socks,"A socks with the color rgb(152, 93, 98)."
53,Grayish red,152,93,98,wardrobe,"A wardrobe colored rgb(152, 93, 98)."
54,Grayish red,152,93,98,football helmet,"A football helmet colored rgb(152, 93, 98)."
55,Grayish red,152,93,98,guava,"A realistic guava in rgb(152, 93, 98)."
56,Grayish red,152,93,98,taxi,"A taxi with color rgb(152, 93, 98)."
57,Grayish red,152,93,98,umbrella,"A umbrella in rgb(152, 93, 98)."
58,Grayish red,152,93,98,sponge,"A sponge with the color rgb(152, 93, 98)."
59,Grayish red,152,93,98,crocodile,"A crocodile with color rgb(152, 93, 98)."
60,Grayish red,152,93,98,mug,"An image of a mug in rgb(152, 93, 98)."
