id,color,object,prompt
1,crimson,boxing glove,A single crimson boxing glove.
2,crimson,clock,A clock that is entirely crimson.
3,crimson,vehicle,"A vehicle, and it's crimson."
4,crimson,baseball bat,A baseball bat rendered in crimson color.
5,crimson,sports ball,An image of a crimson sports ball.
6,crimson,umbrella,A crimson umbrella.
7,crimson,chair,A photo of a crimson chair.
8,crimson,couch,A realistic couch in crimson.
9,crimson,parrot,A single crimson parrot.
10,crimson,banana,A crimson colored banana.
11,crimson,wardrobe,An image of a crimson wardrobe.
12,crimson,bus,A photo of a crimson bus.
13,crimson,iron,A iron that is entirely crimson.
14,crimson,sweatshirt,A crimson colored sweatshirt.
15,crimson,suitcase,The suitcase is crimson.
16,crimson,sponge,The sponge is crimson.
17,crimson,skateboard,A single crimson skateboard.
18,crimson,oven,The oven is crimson.
19,crimson,bicycle,A crimson colored bicycle.
20,crimson,ruler,A crimson colored ruler.
21,crimson,pants,A pants rendered in crimson color.
22,crimson,sports car,An image of a crimson sports car.
23,crimson,remote,A crimson remote.
24,crimson,mango,A realistic mango in crimson.
25,crimson,papaya,"A papaya, and it's crimson."
26,bisque,parrot,A bisque colored parrot.
27,bisque,clock,A bisque colored clock.
28,bisque,mango,A mango that is entirely bisque.
29,bisque,banana,A banana with a bisque color.
30,bisque,jeans,An image of a bisque jeans.
31,bisque,microwave,A realistic microwave in bisque.
32,bisque,football helmet,A football helmet with a bisque color.
33,bisque,taxi,A taxi with a bisque color.
34,bisque,sweatshirt,The sweatshirt is bisque.
35,bisque,tie,A tie rendered in bisque color.
36,bisque,apple,A apple with a bisque color.
37,bisque,bus,A photo of a bisque bus.
38,bisque,umbrella,A umbrella in a bisque color.
39,bisque,boxing glove,A realistic boxing glove in bisque.
40,bisque,ruler,A ruler that is entirely bisque.
41,bisque,wardrobe,A photo of a bisque wardrobe.
42,bisque,sponge,"A sponge, and it's bisque."
43,bisque,candle,A single bisque candle.
44,bisque,orange,An image of a bisque orange.
45,bisque,socks,A socks with a bisque color.
46,bisque,chair,A realistic chair in bisque.
47,bisque,duck,A duck in a bisque color.
48,bisque,remote,A remote that is entirely bisque.
49,bisque,cow,A cow with a bisque color.
50,bisque,mug,A bisque colored mug.
51,light yellow,orange,A orange rendered in light yellow color.
52,light yellow,umbrella,A single light yellow umbrella.
53,light yellow,bus,A light yellow colored bus.
54,light yellow,remote,A remote that is entirely light yellow.
55,light yellow,guava,A photo of a light yellow guava.
56,light yellow,baseball bat,A baseball bat in a light yellow color.
57,light yellow,apple,"A apple, and it's light yellow."
58,light yellow,suitcase,The suitcase is light yellow.
59,light yellow,sweatshirt,A light yellow sweatshirt.
60,light yellow,ruler,The ruler is light yellow.
61,light yellow,pants,A photo of a light yellow pants.
62,light yellow,mug,A mug with a light yellow color.
