object,ref_object,prompt
backpack,suitcase,"A {color} backpack is placed next to a suitcase of the same color."
bicycle,motorcycle,"A {color} bicycle is parked beside a motorcycle of identical color."
dog,cat,"A {color} dog sits near a cat with matching color fur."
chair,desk,"A {color} chair is positioned next to a desk of the same color."
airplane,bus,"A {color} airplane is parked near a bus painted in identical color."
tie,handbag,"A {color} tie lies beside a handbag of the same color."
banana,apple,"A {color} banana rests next to an apple of identical color."
motorcycle,truck,"A {color} motorcycle is parked beside a truck of the same color."
carrot,orange,"A {color} carrot lies close to an orange of identical color."
baseball bat,skateboard,"A {color} baseball bat rests against a skateboard of the same color."
elephant,bear,"A {color} elephant stands near a bear of matching color."
book,clock,"A {color} book is placed beside a clock of the same color."
refrigerator,oven,"A {color} refrigerator stands next to an oven of identical color."
hat,backpack,"A {color} hat rests on a backpack of the same color."
frisbee,kite,"A {color} frisbee lies near a kite of identical color."
sports ball,baseball glove,"A {color} sports ball sits next to a baseball glove of matching color."
handbag,umbrella,"A {color} handbag hangs near an umbrella of the same color."
couch,bookcase,"A {color} couch faces a bookcase of identical color."
microwave,toaster,"A {color} microwave sits beside a toaster of the same color."
football helmet,boxing glove,"A {color} football helmet lies next to a boxing glove of matching color."
table,candle,"A {color} table holds a candle of the same color."
car,bus,"A {color} car is parked beside a bus of identical color."
minivan,bicycle,"A {color} minivan is parked near a bicycle of the same color."
knife,cutting board,"A {color} knife rests on a cutting board of matching color."
dog,horse,"A {color} dog stands beside a horse with the same color coat."
suitcase,backpack,"A {color} suitcase is placed next to a backpack of identical color."
mug,teapot,"A {color} mug sits beside a teapot of the same color."
car,truck,"A {color} car is parked next to a truck of matching color."
parrot,elephant,"A {color} parrot perches near an elephant of the same color."
hair dryer,remote,"A {color} hair dryer lies next to a remote of identical color."
frisbee,surfboard,"A {color} frisbee rests beside a surfboard of the same color."
elephant,cow,"A {color} elephant stands near a cow of matching color."
sweatshirt,hat,"A {color} sweatshirt is folded beside a hat of the same color."
apple,orange,"A {color} apple lies beside an orange of identical color."
airplane,truck,"A {color} airplane is parked near a truck of the same color."
skateboard,skis,"A {color} skateboard lies near skis of matching color."
computer mouse,cutting board,"A {color} computer mouse rests on a cutting board of the same color."
banana,mango,"A {color} banana is placed beside a mango of identical color."
sports ball,football helmet,"A {color} sports ball lies near a football helmet of the same color."
suitcase,umbrella,"A {color} suitcase stands next to an umbrella of matching color."
bear,sheep,"A {color} bear stands near a sheep of the same color."
remote,microwave,"A {color} remote rests on a microwave of identical color."
dog,bear,"A {color} dog sits beside a bear of matching color."
airplane,boat,"A {color} airplane is parked near a boat of the same color."
baseball bat,frisbee,"A {color} baseball bat lies near a frisbee of identical color."
chair,table,"A {color} chair is placed next to a table of the same color."
jacket,hat,"A {color} jacket hangs beside a hat of matching color."
