id,color,main_obj,sec_obj,prompt
1,Pink,golf ball,putting green,A Pink golf ball on a putting green.
2,Pink,taxi,building,A Pink taxi in front of a building.
3,Pink,mango,lemon,A Pink mango in a fruit bowl with a lemon.
4,Pink,computer mouse,desk,A Pink computer mouse on a desk.
5,Pink,lipstick,vanity mirror,A Pink lipstick on a vanity mirror.
6,Pink,desk,home office,A Pink desk in a home office.
7,Pink,candle,mirror,A Pink candle beside a mirror.
8,Pink,airplane,runway,A Pink airplane at the runway gate.
9,Pink,motorcycle,street corner,A Pink motorcycle on a street corner.
10,Pink,refrigerator,kitchen,A Pink refrigerator in the corner of the kitchen.
11,Pink,sports ball,gym floor,A Pink sports ball on a gym floor.
12,Pink,truck,loading dock,A Pink truck beside a loading dock.
13,Red,boxing glove,shelf,A Red boxing glove placed on a shelf.
14,Red,jacket,coat rack,A Red jacket hanging on a coat rack.
15,Red,strawberry,dessert plate,A Red strawberry on top of a dessert plate.
16,Red,mango,lemon,A Red mango in a fruit bowl with a lemon.
17,Red,truck,loading dock,A Red truck beside a loading dock.
18,Red,mug,books,A Red mug on a desk with books.
19,Red,wardrobe,small chair,A Red wardrobe beside a small chair.
20,Red,towel,bathroom rack,A Red towel hanging on a bathroom rack.
21,Red,surfboard,sandy beach,A Red surfboard standing on a sandy beach.
22,Red,baseball glove,bench,A Red baseball glove on a bench.
23,Red,clock,white wall,A Red clock on a white wall.
24,Red,remote,coffee table,A Red remote on a coffee table.
25,Yellowish pink,microwave,kitchen shelf,A Yellowish pink microwave on a kitchen shelf.
26,Yellowish pink,ruler,notebook,A Yellowish pink ruler beside an open notebook.
27,Yellowish pink,sports ball,gym floor,A Yellowish pink sports ball on a gym floor.
28,Yellowish pink,T-shirt,table,A Yellowish pink T-shirt folded on a table.
29,Yellowish pink,candle,mirror,A Yellowish pink candle beside a mirror.
30,Yellowish pink,tie,hanger,A Yellowish pink tie draped over a hanger.
31,Yellowish pink,boxing glove,shelf,A Yellowish pink boxing glove placed on a shelf.
32,Yellowish pink,lipstick,vanity mirror,A Yellowish pink lipstick on a vanity mirror.
33,Yellowish pink,apple,plate,A Yellowish pink apple on a white plate.
34,Yellowish pink,wrench,toolbox,A Yellowish pink wrench beside a toolbox.
35,Yellowish pink,minivan,driveway,A Yellowish pink minivan parked in a driveway.
36,Yellowish pink,jacket,coat rack,A Yellowish pink jacket hanging on a coat rack.
37,Reddish orange,horse,stable,A Reddish orange horse standing in a stable.
38,Reddish orange,lipstick,vanity mirror,A Reddish orange lipstick on a vanity mirror.
39,Reddish orange,boat,pier,A Reddish orange boat docked at a pier.
40,Reddish orange,mug,books,A Reddish orange mug on a desk with books.
41,Reddish orange,wrench,toolbox,A Reddish orange wrench beside a toolbox.
42,Reddish orange,motorcycle,street corner,A Reddish orange motorcycle on a street corner.
43,Reddish orange,truck,loading dock,A Reddish orange truck beside a loading dock.
44,Reddish orange,owl,wooden stump,A Reddish orange owl perched on a wooden stump.
45,Reddish orange,bus,bus stop,A Reddish orange bus at a bus stop.
46,Reddish orange,cow,wooden fence,A Reddish orange cow near a wooden fence.
47,Reddish orange,sheep,green field,A Reddish orange sheep grazing on a green field.
