id,color_count,object1,color1,object2,color2,object3,color3,prompt
1,2,hat,Pink,suitcase,Red,,,A Pink hat resting on a Red suitcase.
2,2,minivan,Orange,bicycle,Brown,,,A Orange minivan parked beside a Brown bicycle in the driveway.
3,2,snowboard,Yellow,skis,Olive,,,A Yellow snowboard resting against Olive skis by the cabin.
4,2,carrot,Yellow green,broccoli,Green,,,A Yellow green carrot and a Green broccoli on a cutting board.
5,3,couch,Blue,table,Purple,vase,White,A Blue couch with a Purple table and a White vase in the living room.
6,3,boat,Gray,jeep,Black,airplane,Pink,"A Gray boat, a Black jeep, and a Pink airplane at the lakeside."
7,2,sheep,Red,horse,Orange,,,A Red sheep grazing next to a Orange horse in the meadow.
8,2,pillow,Brown,curtain,Yellow,,,A Brown pillow on the bed near a Yellow curtain by the window.
9,2,skateboard,Olive,frisbee,Yellow green,,,A Olive skateboard beside a Yellow green frisbee on the grass.
10,2,tie,Green,suit,Blue,,,A Green tie draped over a Blue suit in the closet.
11,2,baseball bat,Purple,golf ball,White,,,A Purple baseball bat next to a White golf ball on the floor.
12,2,refrigerator,Gray,oven,Black,,,A Gray refrigerator beside a Black oven in the kitchen.
13,3,dog,Pink,cat,Red,horse,Orange,A Pink dog next to a Red cat and a Orange horse in the yard.
14,2,duck,Brown,cow,Yellow,,,A Brown duck swimming near a Yellow cow by the pond.
15,2,clock,Olive,candle,Yellow green,,,A Olive clock beside a Yellow green candle on the mantle.
16,2,backpack,Green,bicycle,Blue,,,A Green backpack hanging on a Blue bicycle.
17,3,papaya,Purple,guava,White,carrot,Gray,"A Purple papaya, a White guava, and a Gray carrot on the table."
18,3,surfboard,Black,kite,Pink,frisbee,Red,"A Black surfboard, a Pink kite, and a Red frisbee on the beach."
19,2,knife,Orange,cutting board,Brown,,,A Orange knife on a Brown cutting board in the kitchen.
20,2,umbrella,Yellow,car,Olive,,,A Yellow umbrella leaning against a Olive car.
21,2,remote,Yellow green,computer mouse,Green,,,A Yellow green remote beside a Green computer mouse on the desk.
22,3,remote,Blue,computer mouse,Purple,fan,White,"A Blue remote, a Purple computer mouse, and a White fan on the desk."
23,3,wardrobe,Gray,bookcase,Black,desk,Pink,A Gray wardrobe beside a Black bookcase and a Pink desk in the room.
24,3,broccoli,Red,orange,Orange,apple,Brown,A Red broccoli beside a Orange orange and a Brown apple on the counter.
25,2,backpack,Yellow,umbrella,Olive,,,A Yellow backpack leaning against a Olive umbrella by the door.
26,2,boat,Yellow green,jeep,Green,,,A Yellow green boat docked near a Green jeep at the marina.
27,2,socks,Blue,towel,Purple,,,A Blue socks next to a Purple towel on the dresser.
28,3,chair,White,desk,Gray,bookcase,Black,"A White chair, a Gray desk, and a Black bookcase in the office."
29,2,T-shirt,Pink,jeans,Red,,,A Pink T-shirt and Red jeans folded on the bed.
30,2,teddybear,Orange,balloon,Brown,,,A Orange teddybear holding a Brown balloon on the bed.
31,3,strawberry,Yellow,mango,Olive,lemon,Yellow green,"A Yellow strawberry, a Olive mango, and a Yellow green lemon on a plate."
32,2,surfboard,Green,kite,Blue,,,A Green surfboard leaning near a Blue kite on the beach.
33,2,sports ball,Purple,baseball glove,White,,,A Purple sports ball next to a White baseball glove on the bench.
