id,color,object,prompt
1,Light pink,boxing glove,A photo of a Light pink boxing glove.
2,Light pink,clock,A realistic clock in Light pink.
3,Light pink,vehicle,A single Light pink vehicle.
4,Light pink,baseball bat,A Light pink colored baseball bat.
5,Light pink,sports ball,An image of a Light pink sports ball.
6,Light pink,umbrella,A photo of a Light pink umbrella.
7,Light pink,chair,A chair that is entirely Light pink.
8,Light pink,couch,A Light pink colored couch.
9,Light pink,parrot,The parrot is Light pink.
10,Light pink,banana,The banana is Light pink.
11,Light pink,wardrobe,A single Light pink wardrobe.
12,Light pink,bus,The bus is Light pink.
13,Light pink,iron,A Light pink colored iron.
14,Light pink,sweatshirt,A Light pink colored sweatshirt.
15,Light pink,suitcase,A suitcase rendered in Light pink color.
16,Light pink,sponge,An image of a Light pink sponge.
17,Light pink,skateboard,A Light pink skateboard.
18,Light pink,oven,A realistic oven in Light pink.
19,Light pink,bicycle,"A bicycle, and it's Light pink."
20,Light pink,ruler,A ruler in a Light pink color.
21,Light pink,pants,The pants is Light pink.
22,Light pink,sports car,A single Light pink sports car.
23,Light pink,remote,The remote is Light pink.
24,Light pink,mango,A mango in a Light pink color.
25,Light pink,papaya,An image of a Light pink papaya.
26,Light pink,mug,A mug with a Light pink color.
27,Light pink,candle,A candle rendered in Light pink color.
28,Light pink,fan,A Light pink colored fan.
29,Light pink,football helmet,A football helmet rendered in Light pink color.
30,Light pink,jeans,A jeans that is entirely Light pink.
31,Vivid red,fan,A single Vivid red fan.
32,Vivid red,apple,An image of a Vivid red apple.
33,Vivid red,bus,A bus with a Vivid red color.
34,Vivid red,ruler,A realistic ruler in Vivid red.
35,Vivid red,umbrella,A umbrella in a Vivid red color.
36,Vivid red,microwave,A microwave that is entirely Vivid red.
37,Vivid red,banana,A banana with a Vivid red color.
38,Vivid red,snowboard,A Vivid red colored snowboard.
39,Vivid red,couch,A Vivid red couch.
40,Vivid red,mango,A mango that is entirely Vivid red.
41,Vivid red,baseball bat,A Vivid red baseball bat.
42,Vivid red,desk,A Vivid red colored desk.
