id,css_name,color_name,hex,r,g,b,object,prompt
1,Crimson,crimson,#DC143C,220,20,60,boxing glove,A close-up of a boxing glove in the color #DC143C.
2,Crimson,crimson,#DC143C,220,20,60,clock,A realistic #DC143C-colored clock.
3,Crimson,crimson,#DC143C,220,20,60,vehicle,A highly detailed vehicle in hex #DC143C.
4,Crimson,crimson,#DC143C,220,20,60,baseball bat,An image of a baseball bat in hex color #DC143C.
5,Crimson,crimson,#DC143C,220,20,60,sports ball,A realistic #DC143C-colored sports ball.
6,Crimson,crimson,#DC143C,220,20,60,umbrella,A close-up of a umbrella in the color #DC143C.
7,Crimson,crimson,#DC143C,220,20,60,chair,A realistic #DC143C-colored chair.
8,Crimson,crimson,#DC143C,220,20,60,couch,A couch rendered entirely in #DC143C.
9,Crimson,crimson,#DC143C,220,20,60,parrot,A close-up of a parrot in the color #DC143C.
10,Crimson,crimson,#DC143C,220,20,60,banana,A banana designed in #DC143C color.
11,Crimson,crimson,#DC143C,220,20,60,wardrobe,A highly detailed wardrobe in hex #DC143C.
12,Crimson,crimson,#DC143C,220,20,60,bus,A bus rendered in #DC143C color.
13,Crimson,crimson,#DC143C,220,20,60,iron,An image of a iron in hex color #DC143C.
14,Crimson,crimson,#DC143C,220,20,60,sweatshirt,A sweatshirt with hex color #DC143C.
15,Crimson,crimson,#DC143C,220,20,60,suitcase,A suitcase rendered entirely in #DC143C.
16,Bisque,bisque,#FFE4C4,255,228,196,minivan,A minivan rendered entirely in #FFE4C4.
17,Bisque,bisque,#FFE4C4,255,228,196,baseball bat,A baseball bat in color #FFE4C4.
18,Bisque,bisque,#FFE4C4,255,228,196,elephant,A realistic #FFE4C4-colored elephant.
19,Bisque,bisque,#FFE4C4,255,228,196,suitcase,A suitcase rendered in #FFE4C4 color.
20,Bisque,bisque,#FFE4C4,255,228,196,fan,A highly detailed fan in hex #FFE4C4.
21,Bisque,bisque,#FFE4C4,255,228,196,couch,A photo of a couch in the color #FFE4C4.
22,Bisque,bisque,#FFE4C4,255,228,196,banana,A highly detailed banana in hex #FFE4C4.
23,Bisque,bisque,#FFE4C4,255,228,196,mango,A close-up of a mango in the color #FFE4C4.
24,Bisque,bisque,#FFE4C4,255,228,196,boxing glove,A boxing glove in color #FFE4C4.
25,Bisque,bisque,#FFE4C4,255,228,196,sports car,An image of a sports car in hex color #FFE4C4.
26,Bisque,bisque,#FFE4C4,255,228,196,sweatshirt,A close-up of a sweatshirt in the color #FFE4C4.
27,Bisque,bisque,#FFE4C4,255,228,196,skateboard,A skateboard rendered in #FFE4C4 color.
28,Bisque,bisque,#FFE4C4,255,228,196,bus,A bus in color #FFE4C4.
29,Bisque,bisque,#FFE4C4,255,228,196,desk,A close-up of a desk in the color #FFE4C4.
30,Bisque,bisque,#FFE4C4,255,228,196,clock,A clock in color #FFE4C4.
31,LightYellow,light yellow,#FFFFE0,255,255,224,mango,A mango rendered entirely in #FFFFE0.
32,LightYellow,light yellow,#FFFFE0,255,255,224,baseball bat,A baseball bat rendered in #FFFFE0 color.
33,LightYellow,light yellow,#FFFFE0,255,255,224,desk,A realistic #FFFFE0-colored desk.
34,LightYellow,light yellow,#FFFFE0,255,255,224,boxing glove,A close-up of a boxing glove in the color #FFFFE0.
35,LightYellow,light yellow,#FFFFE0,255,255,224,taxi,A photo of a taxi in the color #FFFFE0.
36,LightYellow,light yellow,#FFFFE0,255,255,224,bear,An image of a bear in hex color #FFFFE0.
37,LightYellow,light yellow,#FFFFE0,255,255,224,snowboard,A close-up of a snowboard in the color #FFFFE0.
38,LightYellow,light yellow,#FFFFE0,255,255,224,sports car,An image of a sports car in hex color #FFFFE0.
39,LightYellow,light yellow,#FFFFE0,255,255,224,suitcase,A photo of a suitcase in the color #FFFFE0.
40,LightYellow,light yellow,#FFFFE0,255,255,224,sponge,A sponge rendered entirely in #FFFFE0.
41,LightYellow,light yellow,#FFFFE0,255,255,224,apple,A apple rendered in #FFFFE0 color.
42,LightYellow,light yellow,#FFFFE0,255,255,224,ruler,A ruler in color #FFFFE0.
43,LightYellow,light yellow,#FFFFE0,255,255,224,sports ball,A close-up of a sports ball in the color #FFFFE0.
